company,industry,total_laid_off,percentage_laid_off,date,country,stage,funds_raised_millions
IBM,Crypto,2718.0,0.06,07/13/2023,United Kingdom,Series B,720.1
IBM,Healthcare,4633.0,0.44,01/11/2022,United States ,Post-IPO,2973.9
Google,Retail,7383.0,0.42,01-05-2024,USA,Private Equity,410.3
 Intel,Healthcare,1268.0,0.32,04/06/2023,UK,nan,
 IBM,Retail,3674.0,0.38,04-03-2023,Germany,Series D,510.1
Microsoft,Food,3043.0,0.06,2023-03-28,Sweden,Series B,984.9
Salesforce,Finance,1377.0,0.48,2022-05-31,USA,Series B,
SALESFORCE,Retail,3822.0,0.28,2023-11-16,Germany,Private Equity,1448.9
META,Retail,6105.0,0.43,20-10-2022,USA,Post-IPO,1029.2
Uber,Media,670.0,0.37,10/29/2022,United States,Private Equity,1594.8
 Spotify,Healthcare,,,09/11/2022,United States ,Series D,380.0
Spotify,Healthcare,2931.0,0.37,04/07/2023,UK,Post-IPO,190.8
Netflix,Media,3387.0,0.32,05/17/2023,United States,Private Equity,2897.6
 Salesforce,Retail,4056.0,0.41,11-12-2022,Canada,Post-IPO,2850.1
 Uber,Retail,2467.0,0.08,01/15/2024,UK,Private Equity,2398.9
SHOPIFY,Consumer,5233.0,0.48,2022-03-13,United Kingdom,Series B,1002.0
 Amazon,Finance,,0.19,02/09/2023,United States ,Private Equity,1231.6
Shopify,Hardware,1078.0,0.37,06/07/2023,UK,Post-IPO,928.6
Netflix,Retail,3047.0,0.53,22-03-2022,United Kingdom,Post-IPO,2195.7
 Microsoft,Food,528.0,0.06,2023-03-31,Sweden,nan,1669.4
Twitter,Transportation,594.0,0.06,15-10-2022,Brazil,Series B,
 Salesforce,Crypto,1481.0,0.12,2024-06-12,United States,Series C,2065.7
Amazon,Other,7133.0,0.09,10-11-2023,United Kingdom,nan,
SPOTIFY,Transportation,4510.0,0.42,2022-01-17,United States,Series C,1666.3
Salesforce,Consumer,3518.0,0.37,03-01-2023,Sweden,Post-IPO,397.5
Netflix,Media,3675.0,0.13,2022-02-02,United States ,Series B,931.0
 Snap,Crypto,7948.0,0.45,16-05-2023,United States ,Series C,320.9
 Intel,Media,,0.25,23-01-2024,Brazil,Series B,2014.6
 Shopify,Food,3614.0,0.05,23-12-2023,United States ,Series C,2355.7
Spotify,Healthcare,1691.0,0.38,05/27/2024,USA,Post-IPO,1162.6
 Meta,Finance,4522.0,0.24,08/04/2023,Canada,Series B,889.2
IBM,Media,5405.0,0.47,2024-03-21,USA,Post-IPO,15.3
Spotify,Crypto,1135.0,0.43,2023-05-28,UK,nan,1722.9
AMAZON,Other,109.0,0.55,20-08-2023,Sweden,Post-IPO,694.4
 Uber,Crypto,3730.0,,20-02-2023,USA,Private Equity,1823.0
 Snap,Other,7128.0,0.49,2022-11-07,United Kingdom,Series C,2504.6
Shopify,Healthcare,926.0,0.55,22-01-2024,Canada,Post-IPO,
 Stripe,Crypto,7112.0,0.49,14-01-2024,Canada,nan,1344.3
 Microsoft,Healthcare,165.0,0.18,02/09/2024,United States,Private Equity,390.1
 Shopify,Finance,924.0,0.24,2022-10-30,United States,Series D,659.3
Stripe,Transportation,3989.0,0.48,01-12-2023,Germany,Series D,618.2
MICROSOFT,Other,2041.0,,01-07-2023,United States,Post-IPO,17.3
MICROSOFT,Other,4168.0,0.37,2023-10-15,Germany,Series B,1272.2
 Netflix,Media,1851.0,0.21,11/27/2022,Sweden,Series C,12.6
NETFLIX,Media,5270.0,0.48,2023-02-17,Germany,Private Equity,190.0
NETFLIX,Other,2229.0,,30-03-2022,Sweden,Post-IPO,1951.1
INTEL,Finance,2056.0,0.44,08/24/2023,India,Series B,1460.3
IBM,Other,3108.0,0.47,01/03/2022,USA,Post-IPO,1972.0
MICROSOFT,Media,471.0,,20-11-2022,United Kingdom,Series C,1337.2
Spotify,Healthcare,7933.0,0.34,08/01/2023,Brazil,Post-IPO,1961.0
Google,Retail,4364.0,0.3,30-12-2023,India,Series C,973.3
IBM,Finance,1918.0,0.14,14-05-2023,United States ,nan,2579.4
Stripe,Transportation,5013.0,0.38,2022-12-07,Sweden,Series C,
Snap,Food,6920.0,0.4,04/07/2022,United Kingdom,Post-IPO,
 Spotify,Transportation,,0.27,28-03-2024,Sweden,Series B,947.0
SPOTIFY,Crypto,6159.0,0.24,03/25/2023,United States ,Post-IPO,1788.5
NETFLIX,Other,1776.0,0.28,2024-01-19,United States ,Series C,1281.8
Amazon,Other,6570.0,0.14,11/08/2023,Sweden,Series B,2249.2
 Stripe,Other,335.0,0.59,08-01-2023,Germany,Series B,379.1
Salesforce,Retail,4571.0,0.31,08/20/2022,United States ,Post-IPO,1163.9
 Uber,Healthcare,5317.0,0.54,2022-06-28,United States,Post-IPO,1740.4
Intel,Food,,0.44,20-04-2022,United States ,nan,747.3
 Microsoft,Food,2542.0,0.22,16-02-2024,India,Series D,888.2
Snap,Consumer,7886.0,,2022-07-16,USA,Series D,2827.4
Microsoft,Transportation,5653.0,0.31,01/22/2024,Brazil,Post-IPO,1359.3
 IBM,Media,4652.0,0.52,06/23/2022,USA,Series C,
SNAP,Hardware,5450.0,0.31,2022-11-04,United States,Series D,2770.1
STRIPE,Crypto,6070.0,0.17,2023-11-21,UK,Series C,2715.9
 Meta,Media,6740.0,0.21,12-02-2022,United States ,Post-IPO,830.9
 IBM,Other,6957.0,0.07,31-07-2023,United Kingdom,Private Equity,2534.3
Intel,Finance,2464.0,0.58,2023-09-05,Sweden,Post-IPO,
IBM,Transportation,2982.0,0.06,04/23/2022,Brazil,Post-IPO,2162.4
Peloton,Other,2896.0,0.16,03/23/2024,UK,Post-IPO,2900.1
 Shopify,Consumer,7020.0,0.38,02/21/2023,Germany,Series D,199.2
Intel,Finance,5181.0,0.16,06/21/2023,United Kingdom,Series C,1529.5
META,Finance,6469.0,0.21,05-04-2023,Brazil,Post-IPO,1700.8
Salesforce,Hardware,1622.0,0.22,05/28/2024,Germany,Series C,1595.5
Peloton,Hardware,7104.0,0.27,01/04/2022,Germany,Series C,
 Peloton,Healthcare,4032.0,0.58,11/02/2023,UK,Post-IPO,2954.3
SNAP,Other,474.0,0.29,2023-05-19,Germany,Post-IPO,50.4
Snap,Media,7275.0,0.53,01/30/2023,Brazil,Series C,2686.6
SALESFORCE,Consumer,5204.0,0.31,18-06-2023,India,Post-IPO,888.1
IBM,Hardware,2439.0,,22-04-2024,United States,Series C,1431.7
Snap,Hardware,,0.25,2023-12-13,United States,Post-IPO,370.5
Microsoft,Other,5211.0,0.26,2024-04-09,Brazil,Series C,2343.5
 Netflix,Other,,0.47,09/23/2023,United States ,Post-IPO,2737.9
TWITTER,Hardware,1973.0,0.1,2022-06-08,United States,nan,1944.5
NETFLIX,Retail,2238.0,,2024-01-13,India,Series C,908.8
 IBM,Food,,0.52,04/05/2022,United States ,Series B,864.9
Meta,Food,2406.0,0.22,23-08-2023,United Kingdom,Post-IPO,1603.9
Spotify,Finance,5826.0,0.4,07-07-2023,Brazil,Post-IPO,1600.2
Stripe,Food,1031.0,0.04,21-10-2022,India,Series C,1401.0
Amazon,Retail,6975.0,0.28,03/13/2024,India,Post-IPO,2642.5
 Netflix,Finance,2204.0,0.4,2023-01-17,Canada,Post-IPO,978.3
TWITTER,Healthcare,198.0,0.17,09-07-2023,United States,Series B,125.5
SALESFORCE,Finance,267.0,0.25,23-09-2023,United States,Post-IPO,139.5
IBM,Other,6254.0,0.34,15-08-2022,Germany,Series B,2807.0
 Peloton,Crypto,1803.0,0.09,29-12-2022,Sweden,Series C,1845.9
SNAP,Finance,5969.0,0.15,09-11-2022,India,Series B,
 Netflix,Retail,7819.0,0.55,2022-09-25,UK,Series B,
 Google,Crypto,3242.0,0.58,01/04/2024,USA,Series C,1171.0
PELOTON,Other,4537.0,0.3,05/06/2022,United States,Private Equity,781.0
Meta,Finance,5516.0,0.08,07/03/2023,United States,nan,1013.7
Shopify,Transportation,4171.0,0.31,2024-03-18,Sweden,Private Equity,
Uber,Media,5318.0,0.43,2023-04-12,Brazil,nan,240.1
Uber,Healthcare,5265.0,0.31,02/08/2024,India,Post-IPO,374.6
SPOTIFY,Media,5342.0,0.52,05/15/2023,United Kingdom,Post-IPO,1656.8
Uber,Retail,4411.0,0.55,10/13/2022,United States,Series C,1447.1
SPOTIFY,Consumer,2427.0,0.44,2023-11-03,USA,Series B,
Netflix,Food,7336.0,0.09,2023-05-20,Germany,Post-IPO,
Uber,Food,6860.0,0.46,17-07-2022,United States,nan,1080.7
UBER,Other,3768.0,,11-07-2022,UK,Series D,1402.0
 Spotify,Hardware,5531.0,0.34,2023-10-13,Sweden,nan,
 Salesforce,Other,3984.0,0.58,2023-09-18,United Kingdom,Post-IPO,
Microsoft,Other,,0.16,04/19/2024,Sweden,Series B,919.8
 IBM,Crypto,,0.6,2022-05-01,United States ,Post-IPO,604.1
GOOGLE,Finance,,,10/10/2023,India,Series C,2693.4
Google,Food,7229.0,0.28,07-06-2024,United Kingdom,nan,51.7
 Twitter,Crypto,,0.11,06/11/2022,Germany,Series C,706.8
SHOPIFY,Finance,2705.0,0.51,10-05-2023,United Kingdom,nan,802.4
 Netflix,Healthcare,5047.0,0.51,08/04/2023,USA,Post-IPO,
 Meta,Other,5685.0,0.28,10-10-2023,Germany,nan,2060.4
Meta,Healthcare,4542.0,0.35,2023-11-25,Sweden,Series D,653.3
Salesforce,Retail,426.0,0.1,05/28/2023,United States ,Series B,
Spotify,Finance,1200.0,,06/15/2023,India,Post-IPO,
 Google,Retail,7187.0,0.11,2024-05-08,Canada,Post-IPO,1084.6
 Netflix,Media,1320.0,0.13,09-10-2023,United States ,Post-IPO,361.5
Snap,Hardware,3968.0,0.04,07-09-2023,Sweden,Series D,2119.5
 Amazon,Finance,4769.0,0.42,25-03-2024,United States ,Post-IPO,2253.6
SPOTIFY,Crypto,1032.0,0.57,2023-05-02,Brazil,Post-IPO,
Stripe,Retail,4858.0,0.5,03/10/2024,India,Post-IPO,2506.6
 Uber,Healthcare,5948.0,0.31,01/20/2023,United States,Post-IPO,494.3
 Netflix,Other,7838.0,0.33,12-01-2022,Brazil,Post-IPO,1535.8
Peloton,Other,3567.0,0.56,07-04-2022,USA,nan,1614.8
Peloton,Crypto,7067.0,0.36,12/13/2022,Sweden,Post-IPO,803.6
Google,Hardware,,0.37,02/18/2022,Brazil,Post-IPO,
Peloton,Transportation,802.0,0.12,02/21/2022,Canada,Post-IPO,1246.0
 Shopify,Finance,6312.0,0.49,2022-09-01,Sweden,nan,2459.1
SHOPIFY,Hardware,93.0,0.49,12/17/2023,United States ,Series B,
 Peloton,Hardware,6049.0,0.58,14-06-2024,United Kingdom,nan,1538.4
SHOPIFY,Crypto,27.0,0.15,2023-09-15,Brazil,Post-IPO,924.4
Google,Finance,7096.0,0.22,05/14/2022,Germany,Post-IPO,1701.3
 Microsoft,Crypto,7359.0,0.45,2022-02-26,Sweden,Post-IPO,2625.5
Twitter,Retail,6773.0,0.19,12/16/2023,India,Series B,2025.0
SALESFORCE,Transportation,188.0,,2022-07-05,UK,Post-IPO,2236.9
MICROSOFT,Transportation,6925.0,,2023-05-09,United States ,Post-IPO,
Twitter,Finance,6045.0,0.57,23-11-2022,Sweden,Post-IPO,2544.6
Peloton,Crypto,2480.0,0.07,2023-02-17,United States,Series B,2201.2
PELOTON,Consumer,3512.0,0.21,07/16/2023,United States,Post-IPO,423.2
Snap,Transportation,1993.0,0.15,09/08/2023,Sweden,Post-IPO,
 Snap,Healthcare,764.0,0.52,05/27/2023,USA,nan,1758.4
MICROSOFT,Crypto,7889.0,0.5,07/24/2022,United States,Series C,904.8
 Snap,Hardware,5093.0,0.24,13-08-2023,UK,Series B,
 Intel,Media,7382.0,0.4,2022-12-21,United States ,Series C,2551.2
Salesforce,Other,3283.0,0.14,11-04-2023,Canada,nan,1657.8
Intel,Consumer,7087.0,0.03,2023-12-27,UK,Private Equity,2684.4
MICROSOFT,Healthcare,,,27-09-2023,United States ,nan,2215.7
Google,Consumer,,0.26,2023-09-24,United States ,Series B,790.6
 Salesforce,Finance,7606.0,0.46,2022-02-12,Brazil,Series B,
SHOPIFY,Crypto,4447.0,0.08,12/14/2022,UK,Post-IPO,1809.3
GOOGLE,Crypto,3940.0,0.25,15-01-2023,Canada,Post-IPO,2601.0
 Shopify,Other,870.0,0.49,19-12-2023,India,Series B,2665.2
Uber,Healthcare,7757.0,0.17,09/17/2023,United States ,Post-IPO,373.0
Intel,Hardware,6031.0,0.45,29-05-2024,UK,Series D,1824.4
STRIPE,Retail,5432.0,,19-02-2022,United States,nan,1830.8
STRIPE,Other,3248.0,0.07,11/09/2023,United States ,Series B,1365.1
Amazon,Hardware,280.0,0.13,07/05/2022,UK,Series D,1967.5
 Peloton,Food,1875.0,0.26,02-03-2024,Germany,Post-IPO,1158.8
 Netflix,Crypto,5679.0,0.25,23-02-2024,Brazil,Post-IPO,2585.1
 Spotify,Media,6614.0,,08-02-2023,Brazil,Series B,1997.8
META,Food,1345.0,,07/25/2022,Canada,Private Equity,
PELOTON,Hardware,,0.03,08/01/2023,Sweden,nan,481.3
Snap,Retail,4345.0,0.11,10/09/2023,United States ,Series D,1752.6
 Shopify,Finance,3313.0,0.03,02-12-2022,Sweden,Post-IPO,1657.3
Amazon,Consumer,1012.0,0.56,21-06-2023,United States ,Post-IPO,2137.4
 Meta,Hardware,2002.0,0.08,2023-11-04,Canada,Post-IPO,1865.3
Meta,Other,5596.0,0.12,2022-06-28,Brazil,Private Equity,857.4
Stripe,Healthcare,6074.0,0.32,10/23/2023,Canada,nan,2736.5
Salesforce,Hardware,3447.0,0.54,2022-06-26,USA,Series B,1183.4
Twitter,Other,7123.0,0.14,13-02-2023,Germany,Post-IPO,529.8
Shopify,Healthcare,2488.0,0.39,06/14/2024,USA,nan,1420.1
Intel,Food,5411.0,0.21,03/09/2022,United Kingdom,Post-IPO,1658.5
Microsoft,Other,3580.0,,05/26/2024,Brazil,Series B,591.2
Meta,Media,5164.0,,01-11-2023,Sweden,Series B,136.1
SPOTIFY,Healthcare,7483.0,0.42,2022-04-19,United States,Private Equity,
SNAP,Other,4768.0,0.32,07-02-2022,Canada,nan,2989.7
 Intel,Food,1655.0,0.36,09/12/2022,United States,Post-IPO,800.8
Google,Consumer,658.0,0.04,29-08-2022,United Kingdom,Series C,1398.7
Salesforce,Food,3986.0,,27-05-2022,Sweden,Post-IPO,1825.7
Peloton,Food,3157.0,0.6,2024-02-10,Germany,Series C,706.3
SPOTIFY,Retail,7140.0,0.42,01/06/2022,Germany,Series D,
Amazon,Healthcare,7015.0,0.5,2023-03-01,Canada,Series B,316.5
 Spotify,Finance,4209.0,,2024-05-04,USA,Series D,
 Twitter,Healthcare,1534.0,0.37,02/06/2022,United States ,Series C,352.0
Spotify,Transportation,7046.0,0.42,2024-04-25,United Kingdom,Private Equity,2372.2
 Microsoft,Consumer,5796.0,0.35,2023-06-28,Brazil,Private Equity,
 Google,Crypto,,0.59,2023-12-06,Sweden,Series B,
 Snap,Food,3388.0,0.29,24-07-2023,Canada,Post-IPO,541.2
 Microsoft,Media,3492.0,0.35,2024-02-08,United States,Private Equity,2782.7
 Twitter,Consumer,401.0,0.49,2022-10-02,USA,Post-IPO,2708.7
 Salesforce,Healthcare,3407.0,,21-12-2023,Brazil,Post-IPO,1488.1
TWITTER,Finance,7954.0,0.15,2023-05-17,India,Post-IPO,1120.3
UBER,Consumer,7476.0,0.37,03/08/2022,United States ,Series D,
 Peloton,Media,5357.0,0.58,2023-10-07,USA,Series B,1901.2
 Amazon,Food,,,2023-04-24,Sweden,Series B,605.0
 Google,Consumer,5115.0,0.13,21-05-2024,United Kingdom,nan,2745.7
 Uber,Media,5130.0,0.4,20-04-2023,UK,Post-IPO,1818.8
Stripe,Finance,4089.0,,18-12-2023,United States ,nan,1360.5
 Spotify,Crypto,1511.0,0.31,26-05-2022,Brazil,Private Equity,24.5
Meta,Food,298.0,0.58,05/10/2023,Germany,Series C,841.2
Microsoft,Consumer,4092.0,0.51,01/03/2023,United States,Private Equity,
 Meta,Retail,7072.0,0.44,2022-11-15,Brazil,Series B,2409.5
 Intel,Media,6613.0,0.15,03/15/2024,Sweden,Series C,1332.9
Twitter,Retail,3648.0,0.29,08/28/2023,United Kingdom,Series B,2564.3
Peloton,Retail,3750.0,0.52,2022-10-29,USA,Post-IPO,2584.6
IBM,Consumer,,,25-09-2022,United States,Post-IPO,1423.6
 Shopify,Food,989.0,0.56,2024-05-15,USA,Private Equity,
Snap,Transportation,2723.0,,2023-07-18,United Kingdom,Post-IPO,1118.0
Uber,Retail,2239.0,0.56,03/09/2023,UK,nan,2438.1
 Peloton,Other,4825.0,0.47,2023-05-27,India,Series C,1329.0
IBM,Transportation,4361.0,0.1,11/17/2023,United States ,Post-IPO,1923.0
 Google,Other,2875.0,0.11,15-08-2023,Brazil,Post-IPO,1671.1
Microsoft,Hardware,6507.0,0.55,15-04-2022,United Kingdom,Series D,1462.6
Peloton,Food,5941.0,0.3,12-11-2022,USA,Post-IPO,
Twitter,Food,3478.0,0.3,08/07/2022,Sweden,Post-IPO,2790.3
Microsoft,Other,2605.0,0.22,09-08-2023,Sweden,Series B,
Uber,Transportation,32.0,0.25,16-04-2024,United States,Series C,2606.9
Spotify,Transportation,7136.0,,11-08-2022,UK,Series C,2251.0
Twitter,Consumer,6320.0,0.27,2022-02-06,Germany,Private Equity,2841.6
 Meta,Healthcare,,0.39,2024-03-17,United States ,Post-IPO,1253.6
Peloton,Consumer,3898.0,0.11,2022-12-14,India,Post-IPO,2388.8
Amazon,Finance,1796.0,0.21,27-12-2023,United States,nan,134.8
Salesforce,Media,6848.0,0.05,2022-04-14,United Kingdom,Series B,
Intel,Finance,4145.0,0.34,22-08-2022,Canada,Post-IPO,2769.8
IBM,Other,3392.0,0.48,2023-10-22,Brazil,Series C,2665.5
TWITTER,Finance,2870.0,0.3,23-01-2022,UK,nan,2064.2
GOOGLE,Transportation,2207.0,0.39,04/16/2023,USA,Post-IPO,279.7
 Stripe,Crypto,6074.0,0.25,2023-12-03,United Kingdom,Post-IPO,2899.1
 Intel,Retail,7762.0,0.27,14-04-2023,United States,Post-IPO,1911.2
 Netflix,Healthcare,5176.0,,09-04-2023,Brazil,Post-IPO,1242.8
NETFLIX,Hardware,7176.0,0.54,03/20/2023,Canada,Post-IPO,1186.6
INTEL,Transportation,495.0,,09/28/2022,Sweden,Series B,324.5
STRIPE,Healthcare,3524.0,,08/17/2023,United Kingdom,nan,1002.5
 Amazon,Media,6944.0,0.46,2022-10-19,Germany,Post-IPO,2791.7
Twitter,Finance,1296.0,0.1,03/17/2022,USA,Series B,2697.5
STRIPE,Food,1100.0,0.5,03/29/2022,Germany,Series D,
 Meta,Transportation,6978.0,0.31,2024-06-04,United Kingdom,Post-IPO,
Intel,Crypto,5721.0,0.49,06-12-2023,United Kingdom,Private Equity,
 Salesforce,Retail,2002.0,0.07,01-05-2023,UK,Private Equity,2501.4
Google,Other,7584.0,0.14,2023-07-26,United States ,Series B,2832.7
 IBM,Hardware,2769.0,0.23,2022-07-12,United States,nan,910.0
 IBM,Hardware,2100.0,0.15,07/28/2023,Germany,Post-IPO,1849.2
 Google,Media,2215.0,0.54,07/14/2022,Canada,Post-IPO,413.3
Meta,Hardware,4211.0,,09/17/2023,United Kingdom,Private Equity,
 Stripe,Consumer,7424.0,0.58,01-02-2024,Brazil,Series C,2010.3
 Stripe,Hardware,,,07/07/2022,Brazil,Series D,2401.4
SHOPIFY,Media,1750.0,0.46,2024-01-25,Brazil,nan,2857.3
Amazon,Transportation,6682.0,0.16,2024-03-11,Brazil,Post-IPO,2980.9
 IBM,Hardware,3019.0,0.21,11/07/2023,Sweden,Series B,674.9
 Amazon,Consumer,2758.0,0.18,02/01/2023,India,Post-IPO,1688.4
 Intel,Hardware,2029.0,0.33,2024-01-15,USA,nan,37.6
Peloton,Other,3802.0,0.51,2022-03-07,United Kingdom,Post-IPO,1297.6
Netflix,Finance,5260.0,,09/17/2023,United Kingdom,nan,
META,Finance,3128.0,0.51,22-01-2022,Canada,Series D,2086.0
 Twitter,Media,440.0,0.57,16-10-2023,United States ,Post-IPO,2331.7
PELOTON,Crypto,7307.0,0.26,02/04/2022,UK,Series C,663.2
Uber,Hardware,5204.0,0.49,03/08/2022,United Kingdom,Post-IPO,
Stripe,Retail,3767.0,,12-06-2022,United States ,Series B,6.5
 Google,Hardware,5572.0,0.11,2022-08-18,Brazil,Post-IPO,
 Google,Hardware,6619.0,0.21,06-03-2022,Sweden,Series B,2956.6
INTEL,Consumer,2394.0,,19-01-2024,Germany,Post-IPO,1567.8
Stripe,Crypto,3828.0,0.37,09-04-2024,United States,Series C,1552.7
Google,Food,,0.14,2023-01-07,United Kingdom,Post-IPO,
TWITTER,Transportation,2999.0,0.46,2023-02-15,USA,Post-IPO,2213.4
Shopify,Crypto,,0.36,01/04/2023,United States,Series B,
 Twitter,Retail,5656.0,0.27,2022-10-16,UK,Series B,2991.6
 Amazon,Other,5202.0,,12/21/2022,United States,Private Equity,2208.4
Uber,Healthcare,930.0,0.34,18-04-2022,UK,Series D,120.9
 Meta,Healthcare,6877.0,0.08,06-01-2022,India,Post-IPO,
AMAZON,Transportation,3641.0,,19-10-2023,Germany,Private Equity,
 Snap,Food,5747.0,0.32,2022-02-27,Canada,Post-IPO,1993.9
SHOPIFY,Transportation,6073.0,0.53,11-11-2023,India,Series B,2394.1
 Stripe,Media,4027.0,0.57,11-02-2022,United States ,Series C,2103.1
INTEL,Crypto,,0.34,12-02-2024,Canada,Series C,2328.6
SNAP,Food,2039.0,0.29,11/22/2022,India,Post-IPO,1271.9
SPOTIFY,Consumer,6691.0,0.45,2023-04-04,UK,Series B,2716.7
UBER,Other,339.0,,2022-09-22,Brazil,nan,1625.8
 Snap,Media,726.0,0.48,17-09-2023,Canada,Series D,2677.0
SNAP,Crypto,,0.29,2023-07-07,Canada,Post-IPO,1360.2
Meta,Finance,2036.0,0.34,2022-09-14,UK,Series B,316.9
Microsoft,Retail,4957.0,0.14,04/24/2024,United Kingdom,Series B,
NETFLIX,Healthcare,,0.36,12/14/2022,United Kingdom,Post-IPO,333.4
Shopify,Other,6699.0,0.19,01/19/2024,India,nan,1904.0
 Google,Retail,5422.0,0.51,2022-01-29,Sweden,Post-IPO,2087.4
 Peloton,Consumer,3619.0,0.42,05/23/2022,UK,Series D,241.5
 Shopify,Food,4936.0,0.09,07/20/2022,Canada,nan,
Amazon,Media,7817.0,0.6,2023-11-12,Brazil,Series D,1648.6
SPOTIFY,Crypto,2225.0,0.2,12/27/2023,UK,Post-IPO,682.2
MICROSOFT,Finance,3065.0,0.18,2024-02-13,United Kingdom,Series B,565.2
 IBM,Transportation,4521.0,0.26,26-09-2022,United States ,Series B,361.8
UBER,Other,2539.0,0.19,01-08-2023,Sweden,Post-IPO,1011.7
 Twitter,Hardware,144.0,0.4,09/29/2022,USA,Post-IPO,190.9
SNAP,Hardware,5606.0,0.36,03/19/2024,UK,Post-IPO,2455.7
TWITTER,Crypto,4359.0,0.36,2024-05-29,Brazil,Post-IPO,2130.2
 Microsoft,Transportation,2509.0,,02/29/2024,USA,Post-IPO,1206.7
Amazon,Crypto,7759.0,,08/14/2023,United Kingdom,Series B,344.6
STRIPE,Healthcare,6853.0,0.31,05/22/2024,USA,nan,1582.3
 Stripe,Other,3252.0,0.17,11-01-2022,UK,Private Equity,379.6
 Intel,Other,1815.0,0.46,2024-03-07,India,Series D,2126.8
Google,Media,4297.0,0.2,09-05-2022,Germany,Private Equity,18.8
Salesforce,Crypto,2668.0,0.06,08-02-2022,USA,Series B,
 Uber,Finance,5003.0,0.1,06-06-2023,Brazil,Post-IPO,
 Snap,Transportation,5538.0,0.06,12/26/2022,UK,Post-IPO,2295.8
 Netflix,Crypto,3252.0,0.36,2023-05-14,United Kingdom,Post-IPO,849.9
NETFLIX,Other,4681.0,,2022-03-19,Brazil,nan,
 Twitter,Hardware,7595.0,0.28,2022-07-11,Germany,Post-IPO,292.8
Spotify,Healthcare,,0.29,07-11-2023,Germany,Series D,2046.2
SALESFORCE,Retail,6057.0,0.33,2023-10-24,Brazil,Post-IPO,1457.9
 Microsoft,Other,5447.0,0.17,07/12/2022,United Kingdom,nan,1013.8
 Spotify,Food,1008.0,0.56,05-04-2024,India,Series C,362.6
SNAP,Media,,0.21,2024-02-15,UK,Series C,1289.7
Snap,Food,7143.0,0.3,05/10/2022,United Kingdom,Post-IPO,2403.1
SNAP,Hardware,4809.0,0.38,2022-06-17,Germany,Post-IPO,2223.6
TWITTER,Finance,5330.0,0.42,2023-07-16,United Kingdom,Post-IPO,237.3
Meta,Other,,0.06,19-08-2022,Canada,nan,657.8
 IBM,Food,2107.0,,2022-04-15,USA,Post-IPO,
GOOGLE,Transportation,4610.0,0.35,04-09-2023,United States ,Private Equity,29.4
UBER,Finance,27.0,0.09,2023-06-01,United Kingdom,Series C,
 Google,Food,3430.0,0.56,2022-02-19,United States,Series D,563.9
 Meta,Transportation,7621.0,0.21,16-11-2023,Brazil,Series B,1986.7
SPOTIFY,Transportation,1080.0,0.4,2024-06-20,Canada,nan,971.2
